2026-05-22 17:57:17 | INFO     | MainThread      | utils.py:49 | ==================================================
2026-05-22 17:57:17 | INFO     | MainThread      | utils.py:50 | Scene Scout Application Started
2026-05-22 17:57:17 | INFO     | MainThread      | utils.py:51 | ==================================================
2026-05-22 17:57:25 | INFO     | MainThread      | __init__.py:35 | You are using _TensorRTProxyModule.package_name='tensorrt' 
2026-05-22 17:57:25 | INFO     | MainThread      | _utils.py:109 | TensorRT-LLM plugins for NCCL backend are not supported on Windows.
2026-05-22 17:57:25 | WARNING  | MainThread      | aten_ops_converters.py:838 | Unable to import quantization op. Please install modelopt library (https://github.com/NVIDIA/TensorRT-Model-Optimizer?tab=readme-ov-file#installation) to add support for compiling quantized models
2026-05-22 17:57:25 | WARNING  | MainThread      | aten_ops_converters.py:871 | Unable to import quantize op. Please install modelopt library (https://github.com/NVIDIA/TensorRT-Model-Optimizer?tab=readme-ov-file#installation) to add support for compiling quantized models
2026-05-22 17:57:26 | INFO     | MainThread      | custom_ops_converters.py:69 | TensorRT-LLM plugin for NCCL is not available. NCCL operations will fall back to PyTorch execution.
2026-05-22 17:57:27 | WARNING  | MainThread      | warnings.py:110 | G:\AI\scene-scout\.venv\Lib\site-packages\torch_tensorrt\fx\tracer\acc_tracer\acc_ops.py:895: UserWarning: Unable to import torchvision related libraries.: No module named 'torchvision'. Please install torchvision lib in order to lower stochastic_depth
  warnings.warn(

2026-05-22 17:57:28 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-05-22 17:57:28 | WARNING  | Dummy-1         | _http.py:904 | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/siglip2-so400m-patch16-naflex/cc24074f717b612951c2dead130904ab9b65a81e/preprocessor_config.json "HTTP/1.1 200 OK"
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/siglip2-so400m-patch16-naflex/cc24074f717b612951c2dead130904ab9b65a81e/preprocessor_config.json "HTTP/1.1 200 OK"
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: GET https://huggingface.co/api/models/google/siglip2-so400m-patch16-naflex/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-05-22 17:57:29 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
2026-05-22 17:57:30 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
2026-05-22 17:57:30 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
2026-05-22 17:57:30 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-05-22 17:57:30 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-22 17:57:30 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/siglip2-so400m-patch16-naflex/cc24074f717b612951c2dead130904ab9b65a81e/preprocessor_config.json "HTTP/1.1 200 OK"
2026-05-22 17:57:30 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/siglip2-so400m-patch16-naflex/cc24074f717b612951c2dead130904ab9b65a81e/preprocessor_config.json "HTTP/1.1 200 OK"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/siglip2-so400m-patch16-naflex/cc24074f717b612951c2dead130904ab9b65a81e/config.json "HTTP/1.1 200 OK"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/siglip2-so400m-patch16-naflex/cc24074f717b612951c2dead130904ab9b65a81e/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/google/siglip2-so400m-patch16-naflex/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/siglip2-so400m-patch16-naflex/cc24074f717b612951c2dead130904ab9b65a81e/tokenizer_config.json "HTTP/1.1 200 OK"
2026-05-22 17:57:31 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: GET https://huggingface.co/api/models/google/siglip2-so400m-patch16-naflex/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-05-22 17:57:32 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: GET https://huggingface.co/api/models/google/siglip2-so400m-patch16-naflex/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-05-22 17:57:34 | INFO     | Dummy-1         | _client.py:1025 | HTTP Request: GET https://huggingface.co/api/models/google/siglip2-so400m-patch16-naflex "HTTP/1.1 200 OK"
